time,theta,tvc,combined
5.799999999999999600e-01,1.756034135283943254e+00,3.570044999567409949e-01,1.399029635327202259e+00
5.899999999999999689e-01,1.608875443016896556e+00,3.482011392899506674e-01,1.260674303726945888e+00
5.999999999999999778e-01,1.467233637403638546e+00,3.394435137665844371e-01,1.127790123637053998e+00
6.099999999999999867e-01,1.330974454344614921e+00,3.307205908302245922e-01,1.000253863514390273e+00
6.199999999999999956e-01,1.199808720619534919e+00,3.221114966224920551e-01,8.776972239970428635e-01
6.300000000000000044e-01,1.073326667094340214e+00,3.163258187431204349e-01,7.570008483512198350e-01
6.400000000000000133e-01,9.512587375885273033e-01,3.164331163504510158e-01,6.348256212380762875e-01
6.500000000000000222e-01,8.334043878721972831e-01,3.227620888039168801e-01,5.106422990682804031e-01
6.600000000000000311e-01,7.196129781352189614e-01,3.343420881478343931e-01,3.852708899873845683e-01
6.700000000000000400e-01,6.098191975600937287e-01,3.499564671652666270e-01,2.598627303948271017e-01
6.800000000000000488e-01,5.040100115365341304e-01,3.682932485627268271e-01,1.357167629738073034e-01
6.900000000000000577e-01,4.021979330725972135e-01,3.880392298123521710e-01,1.415870326024504244e-02
7.000000000000000666e-01,3.043143095129212106e-01,4.086554574366385029e-01,-1.043411479237172923e-01
7.099999999999999645e-01,2.103650967745330225e-01,4.301678752032801478e-01,-2.198027784287471253e-01
7.199999999999999734e-01,1.204695042704763547e-01,4.521138367328767504e-01,-3.316443324624003819e-01
7.299999999999999822e-01,3.472048762787850740e-02,4.713089922562210266e-01,-4.365885046283425330e-01
7.399999999999999911e-01,-4.677594042390617601e-02,4.862626102642911841e-01,-5.330385506881973878e-01
7.500000000000000000e-01,-1.239988853996158852e-01,4.972304856705538345e-01,-6.212293710701697336e-01
7.600000000000000089e-01,-1.969735908509766542e-01,5.050633844297754971e-01,-7.020369752807521513e-01
7.700000000000000178e-01,-2.656695751524403848e-01,5.107466033625988056e-01,-7.764161785150391903e-01
7.800000000000000266e-01,-3.300984095364657978e-01,5.150762096740210128e-01,-8.451746192104867550e-01
7.900000000000000355e-01,-3.904008142340570364e-01,5.184780907515744719e-01,-9.088789049856315083e-01
8.000000000000000444e-01,-4.467036213527053601e-01,5.211399873500642821e-01,-9.678436087027696422e-01
8.100000000000000533e-01,-4.990378132824015989e-01,5.222550833837854567e-01,-1.021292896666186945e+00
8.200000000000000622e-01,-5.474010816159321502e-01,5.210623629866437678e-01,-1.068463444602576029e+00
8.300000000000000711e-01,-5.918736621192018932e-01,5.175705406172560474e-01,-1.109444202736457941e+00
8.399999999999999689e-01,-6.326093467917056623e-01,5.120736093016775570e-01,-1.144682956093383108e+00
8.499999999999999778e-01,-6.697998235680283630e-01,5.050563531878057288e-01,-1.174856176755834092e+00
8.599999999999999867e-01,-7.035983183948502084e-01,4.971040092118854670e-01,-1.200702327606735675e+00
8.699999999999999956e-01,-7.341446780423971363e-01,4.887326280161380931e-01,-1.222877306058535174e+00
8.800000000000000044e-01,-7.615712080112257976e-01,4.802484432919866819e-01,-1.241819651303212479e+00
8.900000000000000133e-01,-7.859538034820616748e-01,4.717318991095704739e-01,-1.257685702591632149e+00
9.000000000000000222e-01,-8.073901343757960980e-01,4.623309329519829092e-01,-1.269721067327779007e+00
9.100000000000000311e-01,-8.260048991109395500e-01,4.510494553246464089e-01,-1.277054354435585903e+00
9.200000000000000400e-01,-8.419243721176986606e-01,4.378963801780929033e-01,-1.279820752295791619e+00
9.300000000000000488e-01,-8.552277838579305236e-01,4.233732006989749941e-01,-1.278600984556905518e+00
9.400000000000000577e-01,-8.660236756295185412e-01,4.080283407958789632e-01,-1.274052016425397449e+00
9.500000000000000666e-01,-8.744710983018459949e-01,3.922109013543828571e-01,-1.266681999656228852e+00
9.599999999999999645e-01,-8.806796054638470483e-01,3.761967429362162996e-01,-1.256876348400063348e+00
9.699999999999999734e-01,-8.847723256993189622e-01,3.602451882819949769e-01,-1.245017513981313995e+00
9.799999999999999822e-01,-8.868397186910080832e-01,3.444543694307738990e-01,-1.231294088121781982e+00
9.899999999999999911e-01,-8.869533802124365263e-01,3.288697615763137572e-01,-1.215823141788750394e+00
1.000000000000000000e+00,-8.852340743736411000e-01,3.134258006648296124e-01,-1.198659875038470712e+00
1.010000000000000009e+00,-8.817554961007791903e-01,2.980199059007484497e-01,-1.179775402001527640e+00
1.020000000000000018e+00,-8.766313548583092308e-01,2.826647361752425147e-01,-1.159296091033551690e+00
1.030000000000000027e+00,-8.699810770958370520e-01,2.673183615290219972e-01,-1.137299438624859160e+00
1.040000000000000036e+00,-8.618836091553704337e-01,2.520538790697116616e-01,-1.113937488225082095e+00
1.050000000000000044e+00,-8.524166758678747291e-01,2.368321902823394554e-01,-1.089248866150214212e+00
1.060000000000000053e+00,-8.416874713365306571e-01,2.215114746911763521e-01,-1.063198946027706926e+00
1.070000000000000062e+00,-8.297990664983579956e-01,2.061090788161840937e-01,-1.035908145314542006e+00
1.080000000000000071e+00,-8.168881234524909551e-01,1.907861418168911305e-01,-1.007674265269382197e+00
1.090000000000000080e+00,-8.030947542364111902e-01,1.757282218209873514e-01,-9.788229760573985416e-01
1.100000000000000089e+00,-7.884540548203307075e-01,1.611903519646384897e-01,-9.496444067849691972e-01
1.110000000000000098e+00,-7.730291000794218270e-01,1.473285062891887542e-01,-9.203576063686105257e-01
1.120000000000000107e+00,-7.568871222247796071e-01,1.340346511290930465e-01,-8.909217733538726813e-01
1.130000000000000115e+00,-7.400799108853863828e-01,1.211825504544035842e-01,-8.612624613397900086e-01
1.140000000000000124e+00,-7.226481895275662648e-01,1.086868009716232958e-01,-8.313349904991895745e-01
1.150000000000000133e+00,-7.046162826982270699e-01,9.646154403186738002e-02,-8.010778267300944222e-01
1.159999999999999920e+00,-6.860727102530403965e-01,8.442586370851117017e-02,-7.704985739615515250e-01
1.169999999999999929e+00,-6.671132136573094673e-01,7.249296545318084650e-02,-7.396061791104903138e-01
1.179999999999999938e+00,-6.477704139822654250e-01,6.079258518908662451e-02,-7.085629991713520148e-01
1.189999999999999947e+00,-6.281194033865047377e-01,4.947104994367070713e-02,-6.775904533301754240e-01
1.199999999999999956e+00,-6.082363802917990503e-01,3.851473818508373975e-02,-6.467511184768828247e-01
1.209999999999999964e+00,-5.881317699459189807e-01,2.799422596352245038e-02,-6.161259959094413929e-01
1.219999999999999973e+00,-5.678433609816083694e-01,1.795838116741555954e-02,-5.858017421490239185e-01
1.229999999999999982e+00,-5.474109181705006932e-01,8.317694906699747009e-03,-5.557286130772004507e-01
1.239999999999999991e+00,-5.268364442348995036e-01,-9.668772002659542031e-04,-5.258695670346335005e-01
1.250000000000000000e+00,-5.061406368594243421e-01,-9.940699854556134946e-03,-4.961999370048681968e-01
1.260000000000000009e+00,-4.853755948992036218e-01,-1.870060349276570291e-02,-4.666749914064379223e-01
1.270000000000000018e+00,-4.646411198264071007e-01,-2.728038257798126587e-02,-4.373607372484258349e-01
1.280000000000000027e+00,-4.440131566381759765e-01,-3.558258866328989356e-02,-4.084305679748860829e-01
1.290000000000000036e+00,-4.235288275475802555e-01,-4.337433682213107794e-02,-3.801544907254491568e-01
1.300000000000000044e+00,-4.032078634788002769e-01,-5.050282613458623865e-02,-3.527050373442140452e-01
1.310000000000000053e+00,-3.830107999360002902e-01,-5.696881511963288597e-02,-3.260419848163674250e-01
1.320000000000000062e+00,-3.629688995120407546e-01,-6.292109811306059730e-02,-3.000478013989801296e-01
1.330000000000000071e+00,-3.430937628267243800e-01,-6.860752736391380335e-02,-2.744862354628105905e-01
1.340000000000000080e+00,-3.234817487988861373e-01,-7.411391024361965729e-02,-2.493678385552664800e-01
1.350000000000000089e+00,-3.041938055230238858e-01,-7.942607504501551785e-02,-2.247677304780083540e-01
1.360000000000000098e+00,-2.852758767986292021e-01,-8.432533916179710265e-02,-2.009505376368320995e-01
1.370000000000000107e+00,-2.667035267958762224e-01,-8.863138117530000581e-02,-1.780721456205762165e-01
1.380000000000000115e+00,-2.484635084886911149e-01,-9.231349292365285952e-02,-1.561500155650382693e-01
1.390000000000000124e+00,-2.305814082735760384e-01,-9.556038525559222563e-02,-1.350210230179837989e-01
1.400000000000000133e+00,-2.130382312029477643e-01,-9.853741121464210106e-02,-1.145008199883056632e-01
1.409999999999999920e+00,-1.958156915938262521e-01,-1.013036841140504407e-01,-9.451200747977581140e-02
1.419999999999999929e+00,-1.788961757435698074e-01,-1.039577763676539923e-01,-7.493839937591581513e-02
1.429999999999999938e+00,-1.622685455633604834e-01,-1.065877602468397328e-01,-5.568078531652075058e-02
1.439999999999999947e+00,-1.459724782120187248e-01,-1.092582538243807438e-01,-3.671422438763798091e-02
1.449999999999999956e+00,-1.300388884073026274e-01,-1.119594402572610531e-01,-1.807944815004157435e-02
1.459999999999999964e+00,-1.145211579368620863e-01,-1.145386447783171974e-01,1.748684145511103516e-05
1.469999999999999973e+00,-9.947882402937636981e-02,-1.168562817365531026e-01,1.737745770717673277e-02
1.479999999999999982e+00,-8.491991305262634737e-02,-1.187143033173802265e-01,3.379439026475387908e-02
1.489999999999999991e+00,-7.090356859237399723e-02,-1.199939994417032751e-01,4.909043084932927792e-02
1.500000000000000000e+00,-5.747144041550110438e-02,-1.207037885625288909e-01,6.323234814702778650e-02
1.510000000000000009e+00,-4.463480171049715589e-02,-1.207871798563363436e-01,7.615237814583919462e-02
1.520000000000000018e+00,-3.237428562013722894e-02,-1.202332835695821278e-01,8.785899794944490582e-02
1.530000000000000027e+00,-2.069620727188907147e-02,-1.191413362475198245e-01,9.844512897563074960e-02
1.540000000000000036e+00,-9.586755720822154325e-03,-1.176850238235262053e-01,1.080982681027040510e-01
1.550000000000000044e+00,1.019822764378161117e-03,-1.159453420071545615e-01,1.169651647715327231e-01
1.560000000000000053e+00,1.118749525575070403e-02,-1.140555540041333776e-01,1.252430492598840817e-01
1.570000000000000062e+00,2.092570080887764389e-02,-1.122389876422982408e-01,1.331646884511758777e-01
1.580000000000000071e+00,3.022075708093233462e-02,-1.106811811201925955e-01,1.409019382011249266e-01
1.590000000000000080e+00,3.905522740230207152e-02,-1.093486536577661650e-01,1.484038810600682434e-01
1.600000000000000089e+00,4.747000688266000967e-02,-1.080926384857160555e-01,1.555626453683760513e-01
1.610000000000000098e+00,5.546641771154666584e-02,-1.067683168512865710e-01,1.622347345628332438e-01
1.620000000000000107e+00,6.304008280056620783e-02,-1.054023440165977044e-01,1.684424268171639261e-01
1.630000000000000115e+00,7.023236815551896217e-02,-1.039644177682734483e-01,1.741967859237923966e-01
1.640000000000000124e+00,7.707828394594554156e-02,-1.024400255173074509e-01,1.795183094632529786e-01
1.650000000000000133e+00,8.362912760094082243e-02,-1.009188841486771404e-01,1.845480117496179628e-01
1.660000000000000142e+00,8.984607355492306435e-02,-9.951528074733657914e-02,1.893613543022596435e-01
1.669999999999999929e+00,9.571501086916157919e-02,-9.830738406330374879e-02,1.940223949324653141e-01
1.679999999999999938e+00,1.012160564600025625e-01,-9.714810949729042744e-02,1.983641659572930038e-01
